,original,ortho,phon,p_cvcv,cvcv,nbsyll,nblettres,msmch/fr
13951,bâtiment,baliment,balim@,CVCVCV,CVCVCVCC,3,8,0 high
42529,dessiner,degimner,degimne,CVCVCV,CVCCVCVC,3,8,0 high
111615,ravissant,rachissant,RaSis@,CVCVCV,CVCVCCVCC,3,9,0 high
84352,maladie,labadie,labadi,CVCVCV,CVCVCVV,3,7,0 high
39034,délicat,mericat,merika,CVCVCV,CVCVCVC,3,7,0 high
40892,déposer,dechoser,deSose,CVCVCV,CVCVCVC,3,7,0 high
117421,répéter,vepeter,vepete,CVCVCV,CVCVCVC,3,7,0 high
93509,numéro,mutero,nyteRo,CVCVCV,CVCVCV,3,6,0 high
27766,compagnie,collagnie,k§laNi,CVCVCV,CVCCVCCVV,3,9,0 high
79067,jalousie,malousie,maluzi,CVCVCV,CVCVVCVV,3,8,0 high
97546,parigot,capirot,pagiro,CVCVCV,CVCVCVC,3,7,0 low
134034,tibétain,ribelain,tibel5,CVCVCV,CVCVCVVC,3,8,0 low
60649,favela,garella,farela,CVCVCV,CVCVCV,3,6,0 low
34867,cutané,cuman?,kymane,CVCVCV,CVCVCV,3,6,0 low
85510,marina,bassina,baSina,CVCVCV,CVCVCV,3,6,0 low
141510,vivoter,liboter,libote,CVCVCV,CVCVCVC,3,7,0 low
141207,virulent,nigulent,nigyl@,CVCVCV,CVCVCVCC,3,8,0 low
122780,salissant,lemissant,lemis@,CVCVCV,CVCVCCVCC,3,9,0 low
140913,vilenie,birenie,bireni,CVCVCV,CVCVCVV,3,7,0 low
122480,safari,manari,manaRi,CVCVCV,CVCVCV,3,6,0 low
13957,bâtir,c?chir,keSiR,CVCVC,CVCVC,2,5,1 high
114785,régime,g?nime,genim,CVCVC,CVCVCV,2,6,1 high
91800,nature,magure,magyR,CVCVC,CVCVCV,2,6,1 high
122632,saisir,painir,seniR,CVCVC,CVVCVC,2,6,1 high
61898,final,giral,giral,CVCVC,CVCVC,2,5,1 high
87010,ménage,nellage,nelage,CVCVC,CVCVCV,2,6,1 high
46204,doubler,couchner,kuSne,CVCCV,CVVCCVC,2,7,1 high
82821,local,vogal,vogal,CVCVC,CVCVC,2,5,1 high
131684,tableau,calmeau,kalmo,CVCCV,CVCCVVV,2,7,1 high
122772,salir,dacir,sakiR,CVCVC,CVCVC,2,5,1 high
46275,doudoune,boucloune,buklun,CVCVC,CVVCVVCV,2,8,1 low
104651,potiche,goliche,goliS,CVCVC,CVCVCCV,2,7,1 low
13375,barbant,farmant,faRm@,CVCCV,CVCCVCC,2,7,1 low
16136,bobonne,mochonne,moSOn,CVCVC,CVCVCCV,2,7,1 low
99697,perdant,gertant,gERt@,CVCCV,CVCCVCC,2,7,1 low
23476,charmé,marb?,maRbe,CVCCV,CCVCCV,2,6,1 low
127060,sonique,bollique,bolik,CVCVC,CVCVCVV,2,7,1 low
83147,lotus,mogus,mogys,CVCVC,CVCVC,2,5,1 low
140901,viking,pirine,pirin,CVCVC,CVCVCC,2,6,1 low
129736,succube,cummube,kymyb,CVCVC,CVCCVCV,2,7,1 low
106532,prince,dringe,dR5g,CCVC,CCVCCV,1,6,2 high
61069,ferme,gerte,gERt,CVCC,CVCCV,1,5,2 high
64689,fringue,drilgue,dRil5g,CCVC,CCVCCVV,1,7,2 high
17493,bourse,moulce,muRs,CVCC,CVVCCV,1,6,2 high
91530,naître,l?gre,lEtR,CVCC,CVVCCV,1,6,2 high
81159,large,palge,palZ,CVCC,CVCCV,1,5,2 high
87736,mètre,cattre,katR,CVCC,CVCCV,1,5,2 high
68374,grâce,cr?le,kRal,CCVC,CCVCV,1,5,2 high
85921,masque,valque,valk,CVCC,CVCCVV,1,6,2 high
20169,calme,balmne,balm,CVCC,CVCCV,1,5,2 high
80010,jusque,gluque,glyk,CVCC,CVCCVV,1,6,2 low
129181,strie,smnie,smni,CCCV,CCCVV,1,5,2 low
68763,gratte,pchatte,pSat,CCVC,CCVCCV,1,6,2 low
128566,spore,smope,smOp,CCVC,CCVCV,1,5,2 low
137068,triche,gliche,gRiS,CCVC,CCVCCV,1,6,2 low
102986,ploc,gloch,plOS,CCVC,CCVC,1,4,2 low
45639,djinn,blenn,blen,CCVC,CCVCC,1,5,2 low
100466,peste,mepte,mEpt,CVCC,CVCCV,1,5,2 low
128760,stase,plape,plap,CCVC,CCVCV,1,5,2 low
80418,kyste,lypte,lipt,CVCC,CVCCV,1,5,2 low
